symbol	action	group
ERG	activate	ETS
ETV1	activate	ETS
ETV4	activate	ETS
ETV5	activate	ETS
BRAF	activate	RASMAPK
HRAS	activate	RASMAPK
MYC	activate	RASMAPK
CHD1	break	EPI
SPOP	break	EPI
IDH1	break	EPI
AR	activate	AR
AR enhancer	activate	AR
FOXA1	all	AR
NCOR1	break	AR
NCOR2	break	AR
ASXL2	break	AR
ZBTB16	break	AR
TP53	break	TP53
PTEN	break	PIK3
AKT1	activate	PIK3
PIK3CA	activate	PIK3
RB1	break	RB
CDKN2A	break	RB
CCND1	activate	RB
APC	break	WNT
CTNNB1	activate	WNT
ZNRF3	break	WNT
KMT2C	break	EPI
KMT2D	break	EPI
KDM6A	break	EPI
HDAC4	break	EPI
NKX3-1	break	OTHER
AXL	activate	OTHER
MED12	break	OTHER
ZFHX3	break	OTHER
GNAS	break	OTHER
BRCA2	break	DDR
BRCA1	break	DDR
ATM	break	DDR
CDK12	break	DDR
ERCC2	break	DDR
PRKDC	break	DDR
MLH1	break	DDR
MSH2	break	DDR
MSH6	break	DDR
