chrom	chromStart	chromEnd	chrom_idx
chr1	122503247	124932724	1
chr2	92188145	94090557	2
chr3	90772458	91247622	3
chr4	49712061	51743951	4
chr5	46485900	50059807	5
chr6	58553888	59829934	6
chr7	58169653	61528020	7
chr8	44033744	45877265	8
chr9	43389635	45518558	9
chr10	39686682	41593521	10
chr11	51078348	54425074	11
chr12	34769407	37185252	12
chr13	16000000	18051248	13
chr14	16000000	18173523	14
chr15	17083673	19725254	15
chr16	36311158	38265669	16
chr17	22813679	26616164	17
chr18	15460899	20861206	18
chr19	24498980	27190874	19
chr20	26436232	30038348	20
chr21	10864560	12915808	21
chr22	12954788	15054318	22
chrX	58605579	62412542	23
chrY	10316944	10544039	24
