chrom	start	stop
chr9	21227468	23690570
chr10	89313008	90348818
chr4	90844993	94741521
chr5	58151172	59818245
chr13	444451821	49563699
chr16	78098006	79299841
chr2	140708948	143637838
chr8	2112968	4985851
chr9	7887952	12687261
chr19	1060134	1907478
chr3	59034763	61547330
chrX	30865118	34644819
chr1	26527443	27650365
chr18	48472083	48650073
chr4	179280062	183067669
chr16	5144019	7780235
chr6	1608837	2624052
chr6	161693099	163153207
chr20	14301156	15274325
chr11	16623557	16799846
chr17	7505228	7593565
chr7	110746146	111366370
chr16	72142073	74472459
chr3	174345545	175760559
chr1	114515579	119426205
chr17	29326736	29722618
chr7	157210222	158385117
chr3	116297365	118620828
